system,problem_words,summary
Silero TTS,"Сережа; судоверфь","В целом ударения устойчивые, отдельные ошибки встречаются в именах и редких словах."
RHVoice,"Сережа; недюжинная; судоверфь","Ударения в общеупотребительных словах корректные, но редкая лексика и имена звучат менее естественно."
Piper,"черешен; Сережа; судоверфь","Хорошая ритмика фраз, однако отдельные редкие слова получают нестандартное ударение."
Coqui XTTS,"окраине; черешен; недюжинная; судоверфь","Русская акцентуация менее стабильна, заметны ошибки в редких словах и длинных фразах."
eSpeak NG,"окраине; подошвы; небосвод; галактики; черешен; лепестками; восьмидесятых; недюжинная; судоверфь","Формантный синтез даёт наибольшее количество ошибок ударения и слабую естественность фразовой интонации."
